red	green	blue
96	72	55	255
30	15	8	255
86	64	49	255
55	43	35	255
101	73	57	255
78	57	46	255
96	75	62	255
103	85	73	255
65	54	48	255
103	68	43	255
118	96	75	255
115	90	78	255
117	85	64	255
99	67	48	255
101	75	52	255
98	85	67	255
100	81	71	255
120	98	78	255
132	96	67	255
87	74	62	255
115	78	51	255
103	74	59	255
87	58	45	255
122	88	57	255
96	63	42	255
94	71	63	255
55	35	29	255
96	66	49	255
118	87	62	255
100	77	56	255
128	98	75	255
82	59	40	255
66	52	39	255
107	83	75	255
35	34	32	255
121	87	58	255
111	77	52	255
52	38	26	255
80	59	45	255
98	77	61	255
113	96	84	255
118	90	70	255
125	94	73	255
99	82	71	255
94	76	66	255
104	86	72	255
119	87	63	255
49	34	24	255
48	37	26	255
102	83	70	255
117	81	54	255
119	90	71	255
75	57	46	255
100	68	43	255
90	58	37	255
77	58	46	255
84	63	40	255
78	63	56	255
73	57	51	255
83	67	57	255
111	71	46	255
98	68	48	255
66	46	34	255
102	82	62	255
91	58	38	255
116	96	76	255
42	32	30	255
98	71	56	255
85	61	39	255
76	49	32	255
58	39	26	255
87	57	43	255
122	87	55	255
112	88	77	255
116	82	54	255
130	96	68	255
130	99	75	255
82	65	49	255
113	78	52	255
113	95	82	255
109	89	80	255
68	44	37	255
73	48	38	255
83	59	51	255
67	56	42	255
95	77	61	255
112	81	55	255
51	39	26	255
54	40	39	255
102	73	49	255
91	66	55	255
78	56	38	255
44	38	20	255
103	87	72	255
105	83	76	255
95	63	39	255
30	17	8	255
68	48	33	255
114	87	68	255
78	59	46	255
77	62	48	255
116	90	71	255
115	92	78	255
117	87	64	255
127	90	67	255
89	59	42	255
39	26	25	255
89	62	49	255
114	90	76	255
84	68	52	255
112	89	71	255
74	58	46	255
95	68	48	255
88	58	38	255
111	94	86	255
67	50	37	255
82	61	39	255
110	89	77	255
95	71	56	255
56	42	38	255
94	73	63	255
110	92	84	255
104	84	76	255
109	88	77	255
88	61	46	255
96	68	49	255
65	50	42	255
82	66	55	255
78	50	33	255
80	61	44	255
97	67	46	255
82	57	48	255
107	85	75	255
76	50	38	255
107	88	82	255
101	71	46	255
83	61	40	255
111	82	59	255
89	67	49	255
54	39	37	255
104	88	72	255
94	78	66	255
105	70	48	255
72	49	38	255
131	95	63	255
64	42	35	255
48	39	26	255
115	88	68	255
30	24	17	255
120	84	58	255
71	48	39	255
104	75	63	255
98	87	77	255
90	63	44	255
100	73	50	255
97	76	62	255
73	59	51	255
111	73	46	255
111	90	76	255
101	80	70	255
126	91	67	255
80	55	39	255
110	71	44	255
125	90	67	255
104	80	66	255
62	46	46	255
108	86	74	255
122	90	67	255
112	90	77	255
76	54	40	255
107	75	54	255
83	58	43	255
37	22	15	255
90	71	61	255
118	92	80	255
73	50	38	255
94	68	45	255
83	61	51	255
121	92	76	255
108	82	59	255
87	59	46	255
50	40	26	255
91	71	62	255
78	61	45	255
119	92	81	255
85	74	63	255
127	92	66	255
62	39	28	255
129	95	64	255
99	74	55	255
89	64	49	255
127	95	74	255
87	63	44	255
83	55	45	255
57	42	30	255
85	63	49	255
95	73	55	255
110	91	76	255
105	84	68	255
59	45	33	255
110	74	46	255
112	77	49	255
107	71	44	255
102	67	43	255
81	52	43	255
106	73	51	255
88	63	45	255
116	84	64	255
123	94	75	255
95	76	63	255
77	50	30	255
123	97	82	255
97	84	67	255
71	59	52	255
109	90	77	255
99	80	71	255
78	55	40	255
68	45	34	255
106	76	59	255
82	68	59	255
91	72	56	255
35	26	22	255
82	62	55	255
92	72	61	255
109	76	55	255
74	54	40	255
37	28	25	255
67	44	30	255
64	44	35	255
105	92	85	255
105	75	55	255
95	65	49	255
87	72	56	255
50	40	37	255
63	43	35	255
88	71	62	255
116	92	81	255
34	20	14	255
120	86	58	255
85	57	44	255
46	38	24	255
97	75	54	255
107	86	67	255
117	96	73	255
129	94	62	255
114	99	85	255
113	78	48	255
118	86	63	255
32	25	24	255
112	76	46	255
57	46	32	255
85	67	51	255
51	39	22	255
111	95	83	255
126	96	74	255
84	56	40	255
81	56	45	255
68	46	28	255
104	85	73	255
54	42	30	255
76	56	39	255
40	28	17	255
86	67	52	255
125	95	75	255
124	98	77	255
58	46	33	255
78	52	43	255
103	83	77	255
59	44	44	255
82	66	57	255
107	77	54	255
122	95	75	255
135	98	73	255
97	67	48	255
37	24	15	255
75	55	40	255
83	63	50	255
90	73	61	255
121	94	75	255
100	67	44	255
105	71	45	255
90	76	68	255
107	80	62	255
114	92	67	255
73	55	45	255
101	76	64	255
83	66	58	255
121	97	83	255
103	71	50	255
55	37	24	255
66	45	35	255
65	48	37	255
86	58	39	255
76	48	33	255
55	40	32	255
62	44	35	255
117	96	84	255
48	30	22	255
63	49	45	255
87	65	44	255
80	57	49	255
100	78	68	255
128	99	87	255
102	86	72	255
112	96	78	255
127	98	87	255
84	55	38	255
124	94	67	255
83	57	45	255
108	95	83	255
123	96	74	255
87	68	52	255
105	86	68	255
126	96	85	255
107	73	44	255
102	88	73	255
112	99	86	255
122	94	72	255
116	86	64	255
85	68	57	255
123	99	82	255
58	46	44	255
107	76	52	255
32	15	8	255
109	95	84	255
72	54	37	255
35	28	22	255
92	74	61	255
81	67	57	255
120	95	80	255
119	98	82	255
103	75	52	255
62	38	30	255
49	28	13	255
64	46	34	255
72	57	45	255
56	38	24	255
66	49	37	255
102	77	59	255
87	59	38	255
43	38	33	255
42	35	33	255
67	46	30	255
95	67	49	255
108	87	77	255
105	77	55	255
74	59	48	255
64	49	42	255
102	80	67	255
63	45	35	255
114	98	77	255
86	57	37	255
42	37	34	255
34	22	14	255
116	97	88	255
85	59	44	255
100	74	58	255
120	91	65	255
130	94	72	255
99	76	65	255
63	48	43	255
108	74	43	255
82	55	42	255
81	58	44	255
45	30	22	255
112	95	76	255
111	97	83	255
84	58	40	255
81	61	52	255
68	51	35	255
42	26	20	255
109	74	44	255
84	61	48	255
99	72	50	255
88	65	56	255
78	57	50	255
82	68	57	255
100	86	73	255
46	34	18	255
121	96	75	255
134	99	73	255
118	82	57	255
118	99	87	255
74	55	38	255
102	76	57	255
101	78	64	255
83	68	58	255
85	55	34	255
68	59	52	255
103	81	62	255
110	87	81	255
97	77	64	255
103	76	58	255
117	98	83	255
114	81	58	255
75	49	33	255
82	59	44	255
92	70	57	255
82	62	51	255
97	63	42	255
107	90	78	255
81	57	42	255
111	77	56	255
52	38	30	255
80	59	49	255
62	49	43	255
118	90	74	255
100	80	68	255
84	57	38	255
87	73	59	255
125	97	85	255
135	99	70	255
119	90	75	255
90	74	58	255
61	40	29	255
71	51	42	255
32	17	8	255
37	26	25	255
109	97	84	255
75	57	50	255
121	95	73	255
108	84	74	255
77	58	50	255
54	33	26	255
94	72	55	255
104	82	61	255
116	80	50	255
55	38	21	255
103	80	59	255
72	59	45	255
115	82	57	255
105	76	63	255
66	54	44	255
76	49	30	255
124	90	61	255
108	89	77	255
76	50	43	255
49	33	21	255
87	64	46	255
122	87	59	255
63	50	42	255
86	62	44	255
116	82	58	255
116	99	88	255
100	76	58	255
45	32	21	255
99	78	65	255
97	62	40	255
98	81	67	255
127	99	84	255
94	63	42	255
45	35	29	255
72	50	32	255
103	71	46	255
59	49	43	255
112	81	59	255
28	14	6	255
56	35	25	255
42	28	20	255
96	78	66	255
34	32	30	255
65	43	29	255
117	88	68	255
78	59	50	255
68	56	43	255
88	70	63	255
101	81	63	255
113	91	71	255
45	40	38	255
104	81	59	255
133	99	71	255
115	81	55	255
59	40	30	255
46	40	39	255
112	92	83	255
58	38	28	255
110	89	81	255
116	81	56	255
113	98	75	255
76	55	40	255
99	85	74	255
50	30	25	255
83	62	44	255
114	86	65	255
98	80	65	255
113	82	58	255
75	51	33	255
82	64	51	255
97	65	42	255
45	32	32	255
84	59	37	255
94	62	40	255
112	80	56	255
39	25	22	255
81	62	49	255
64	46	30	255
67	55	44	255
113	85	66	255
118	95	81	255
84	62	45	255
110	88	73	255
109	84	66	255
77	61	50	255
107	81	64	255
120	84	62	255
76	63	57	255
71	56	49	255
114	94	82	255
89	66	55	255
124	88	65	255
129	92	66	255
90	63	48	255
54	35	26	255
82	56	45	255
74	57	48	255
84	67	54	255
107	84	72	255
97	76	66	255
92	66	51	255
29	15	6	255
75	62	58	255
103	82	59	255
85	64	43	255
105	78	63	255
115	84	57	255
99	81	64	255
55	43	29	255
72	48	35	255
43	32	18	255
55	44	42	255
122	92	66	255
99	67	42	255
80	65	50	255
113	81	56	255
61	37	30	255
100	81	65	255
86	65	57	255
83	65	46	255
111	86	65	255
114	86	76	255
54	43	43	255
111	81	61	255
84	59	48	255
30	20	11	255
81	65	51	255
94	68	49	255
78	62	49	255
112	86	66	255
96	80	66	255
109	83	64	255
70	54	46	255
108	85	71	255
123	86	62	255
90	67	50	255
121	87	52	255
90	62	46	255
96	67	57	255
101	67	46	255
52	39	33	255
126	98	80	255
57	43	34	255
110	75	50	255
49	34	18	255
35	18	10	255
73	49	35	255
129	98	76	255
119	88	70	255
59	45	37	255
87	66	56	255
105	84	72	255
112	94	83	255
115	87	75	255
71	43	26	255
58	43	35	255
70	45	33	255
86	64	54	255
98	82	64	255
97	64	50	255
89	77	68	255
122	92	77	255
68	45	38	255
111	85	63	255
83	67	51	255
84	61	37	255
112	82	56	255
81	64	49	255
134	98	74	255
76	49	26	255
106	86	70	255
65	45	39	255
77	63	49	255
34	17	11	255
62	45	29	255
126	94	70	255
106	72	48	255
34	20	18	255
120	86	62	255
82	58	44	255
90	66	48	255
89	68	55	255
107	86	71	255
71	58	49	255
129	94	66	255
114	99	89	255
73	48	32	255
98	76	59	255
126	97	78	255
105	80	62	255
120	89	70	255
102	66	44	255
85	67	55	255
129	97	74	255
105	83	70	255
57	49	44	255
99	86	71	255
108	96	84	255
40	28	21	255
86	67	56	255
68	49	40	255
114	88	75	255
98	65	45	255
77	57	44	255
61	39	30	255
113	86	63	255
99	70	55	255
114	91	83	255
111	91	72	255
113	87	76	255
100	67	48	255
123	89	61	255
56	39	24	255
38	25	20	255
107	80	66	255
84	64	55	255
40	33	24	255
66	46	39	255
78	64	49	255
131	96	65	255
94	70	49	255
131	99	72	255
125	91	64	255
95	64	51	255
67	43	32	255
61	46	33	255
109	88	71	255
124	89	62	255
128	95	70	255
50	30	21	255
92	67	48	255
117	95	75	255
120	88	67	255
78	51	40	255
90	72	57	255
117	96	88	255
102	70	46	255
48	30	26	255
73	51	34	255
29	24	15	255
57	45	34	255
105	70	42	255
110	80	57	255
110	97	87	255
104	72	49	255
50	35	24	255
88	66	49	255
124	94	71	255
101	75	61	255
105	86	72	255
87	68	56	255
117	84	61	255
56	50	49	255
33	17	8	255
112	99	90	255
58	45	35	255
86	66	54	255
68	48	38	255
100	66	45	255
115	92	83	255
107	76	56	255
97	66	50	255
122	97	84	255
111	90	70	255
126	91	61	255
51	30	17	255
111	91	83	255
103	75	56	255
108	86	68	255
121	86	54	255
50	29	18	255
52	37	22	255
103	78	64	255
108	87	81	255
128	99	72	255
64	49	46	255
106	91	78	255
96	68	54	255
101	68	43	255
90	71	55	255
100	74	62	255
89	73	62	255
91	68	48	255
119	89	67	255
129	99	73	255
126	99	78	255
111	81	57	255
101	71	51	255
43	34	22	255
59	46	34	255
120	94	77	255
112	95	80	255
70	46	30	255
72	49	43	255
123	95	76	255
105	85	70	255
88	72	58	255
62	39	22	255
39	28	18	255
99	72	54	255
98	67	45	255
98	70	52	255
46	39	21	255
66	48	38	255
99	75	62	255
81	66	59	255
119	97	84	255
113	89	76	255
82	54	39	255
59	38	28	255
102	76	61	255
84	66	55	255
120	85	64	255
112	87	74	255
63	51	35	255
106	90	75	255
120	87	59	255
61	48	33	255
34	26	20	255
63	44	37	255
72	63	59	255
77	51	37	255
61	49	46	255
108	92	78	255
109	91	84	255
120	90	67	255
32	26	25	255
34	29	28	255
91	65	51	255
106	77	66	255
92	70	61	255
102	72	46	255
104	91	78	255
81	57	46	255
45	29	24	255
116	89	67	255
75	52	45	255
72	51	32	255
43	34	33	255
118	98	84	255
95	81	66	255
115	91	74	255
123	85	55	255
99	68	44	255
43	29	29	255
84	57	42	255
68	50	37	255
124	99	78	255
88	71	56	255
103	89	77	255
106	81	62	255
54	46	39	255
87	73	63	255
115	94	82	255
117	89	68	255
34	18	14	255
98	74	54	255
114	89	73	255
109	81	58	255
99	71	52	255
108	84	72	255
113	88	73	255
29	18	8	255
67	49	33	255
51	32	17	255
65	49	38	255
80	58	46	255
103	80	63	255
67	45	42	255
111	96	90	255
110	74	51	255
99	73	51	255
56	44	42	255
114	97	89	255
78	52	37	255
108	89	81	255
124	91	72	255
125	96	82	255
104	87	68	255
117	97	85	255
86	62	48	255
76	52	42	255
80	62	42	255
46	30	18	255
90	73	55	255
100	76	62	255
75	48	35	255
104	90	76	255
88	67	46	255
101	73	51	255
46	33	26	255
74	54	45	255
105	72	52	255
115	90	72	255
72	51	43	255
110	82	68	255
97	72	51	255
56	35	29	255
76	64	50	255
50	39	35	255
87	72	61	255
65	43	33	255
107	78	66	255
71	50	44	255
37	32	26	255
106	87	72	255
101	81	67	255
116	98	85	255
111	92	80	255
111	75	50	255
118	85	61	255
125	89	64	255
66	50	38	255
94	71	57	255
127	98	81	255
119	82	54	255
113	94	83	255
48	32	17	255
115	81	59	255
96	74	55	255
125	92	72	255
124	95	74	255
112	92	81	255
107	74	51	255
48	35	25	255
76	56	44	255
97	66	46	255
104	70	49	255
132	98	67	255
83	62	48	255
73	52	42	255
119	98	76	255
111	83	67	255
38	21	13	255
91	70	59	255
104	73	57	255
75	54	45	255
70	55	39	255
59	48	45	255
55	37	29	255
68	52	37	255
112	83	68	255
63	45	29	255
116	94	75	255
110	88	77	255
136	99	67	255
115	96	82	255
130	94	66	255
127	94	71	255
57	39	32	255
62	43	33	255
39	30	29	255
77	61	54	255
64	51	37	255
81	58	38	255
67	51	33	255
83	54	42	255
102	85	70	255
78	51	29	255
42	26	14	255
105	85	66	255
108	78	58	255
33	29	24	255
109	72	44	255
94	77	67	255
99	81	68	255
109	75	51	255
30	15	6	255
106	75	56	255
116	85	62	255
103	85	71	255
43	32	22	255
67	50	50	255
118	96	73	255
92	71	58	255
117	99	85	255
99	67	46	255
46	32	18	255
114	85	67	255
134	99	67	255
112	84	62	255
44	32	28	255
64	45	32	255
46	35	26	255
101	78	58	255
74	56	45	255
111	88	64	255
110	84	67	255
111	89	77	255
57	35	22	255
103	74	57	255
110	87	75	255
97	77	58	255
71	52	43	255
96	80	70	255
99	73	62	255
114	81	52	255
122	88	55	255
80	56	35	255
44	28	13	255
128	98	73	255
82	59	38	255
82	52	39	255
101	83	67	255
117	94	86	255
111	94	80	255
111	77	50	255
80	59	43	255
54	34	28	255
118	90	68	255
43	26	17	255
52	39	37	255
94	76	64	255
104	86	70	255
89	58	34	255
51	37	35	255
48	37	24	255
108	76	56	255
76	58	44	255
89	61	42	255
74	52	32	255
80	64	52	255
75	57	44	255
71	46	38	255
97	88	83	255
73	54	42	255
121	96	80	255
73	57	49	255
126	89	65	255
90	61	43	255
120	98	87	255
110	83	65	255
104	75	57	255
65	49	34	255
104	78	64	255
67	45	38	255
111	88	75	255
116	96	74	255
58	39	24	255
55	39	29	255
54	38	29	255
108	67	43	255
107	87	75	255
122	88	66	255
99	78	59	255
34	25	21	255
90	66	52	255
127	99	78	255
100	77	65	255
77	66	61	255
66	52	48	255
94	80	66	255
104	83	73	255
83	56	42	255
52	38	35	255
126	97	82	255
83	59	49	255
95	77	59	255
123	98	78	255
42	28	14	255
108	80	58	255
95	80	67	255
109	77	51	255
109	94	81	255
137	98	70	255
78	59	44	255
77	62	46	255
106	80	63	255
92	76	65	255
120	97	84	255
116	91	82	255
62	40	34	255
43	37	30	255
56	40	28	255
74	58	44	255
81	68	55	255
98	68	57	255
85	58	40	255
110	86	67	255
123	89	65	255
87	61	43	255
64	50	39	255
116	96	85	255
57	40	29	255
95	71	54	255
85	61	48	255
110	89	75	255
123	92	73	255
71	54	43	255
109	85	68	255
106	88	80	255
88	61	44	255
83	55	39	255
35	21	13	255
97	82	66	255
89	67	57	255
111	99	87	255
102	70	50	255
91	70	55	255
74	52	39	255
48	39	24	255
64	42	33	255
115	88	66	255
50	35	28	255
102	73	58	255
78	63	46	255
50	38	35	255
57	48	46	255
74	54	34	255
107	81	58	255
120	84	56	255
89	63	42	255
76	63	51	255
89	66	49	255
114	94	76	255
68	48	42	255
75	59	44	255
90	77	65	255
118	81	54	255
105	75	49	255
45	38	30	255
73	59	49	255
111	90	74	255
101	80	68	255
75	62	52	255
104	80	64	255
89	71	58	255
54	40	29	255
82	61	48	255
107	72	45	255
84	56	34	255
76	54	38	255
78	50	42	255
52	40	34	255
90	71	59	255
54	43	37	255
118	92	78	255
100	82	72	255
50	34	25	255
83	61	49	255
111	82	68	255
103	83	71	255
121	92	74	255
104	71	51	255
131	95	72	255
33	21	14	255
61	42	33	255
108	85	65	255
48	39	35	255
114	74	49	255
62	39	26	255
82	52	35	255
92	63	48	255
117	91	75	255
97	73	63	255
81	50	33	255
101	84	70	255
126	95	67	255
98	70	56	255
62	42	34	255
100	73	59	255
56	42	28	255
102	81	63	255
125	94	67	255
104	84	66	255
110	68	45	255
110	75	44	255
96	71	46	255
111	90	85	255
123	91	65	255
52	34	29	255
115	84	62	255
87	66	50	255
107	88	72	255
76	50	28	255
108	76	52	255
123	94	73	255
48	33	29	255
109	90	75	255
80	65	55	255
83	65	51	255
87	71	59	255
66	44	28	255
91	75	62	255
42	30	24	255
119	96	81	255
67	58	51	255
105	89	76	255
108	82	68	255
103	73	51	255
49	43	42	255
64	44	33	255
102	75	58	255
63	40	26	255
117	90	72	255
63	43	33	255
78	61	54	255
103	72	51	255
50	40	35	255
120	86	56	255
125	90	57	255
89	68	49	255
99	71	56	255
98	74	58	255
39	35	32	255
51	33	21	255
105	80	56	255
112	90	67	255
32	25	22	255
129	95	73	255
99	74	64	255
130	92	71	255
85	67	49	255
59	42	34	255
110	95	76	255
43	25	18	255
81	56	43	255
109	86	65	255
67	52	45	255
57	42	39	255
59	45	42	255
110	98	84	255
110	91	85	255
99	84	71	255
40	28	15	255
68	49	34	255
77	55	43	255
88	63	54	255
92	73	54	255
82	63	48	255
113	84	62	255
44	35	30	255
77	57	38	255
92	76	61	255
43	29	14	255
107	94	82	255
89	76	66	255
91	71	52	255
122	95	73	255
119	92	71	255
37	24	13	255
78	55	49	255
135	98	71	255
90	73	59	255
113	87	70	255
105	88	73	255
107	73	61	255
104	90	80	255
72	55	38	255
101	73	55	255
88	67	50	255
134	97	72	255
74	54	49	255
118	97	86	255
105	74	51	255
50	39	33	255
34	24	14	255
115	98	88	255
61	44	33	255
71	54	39	255
102	98	97	255
114	96	86	255
92	65	48	255
44	26	17	255
82	57	42	255
97	75	63	255
92	68	55	255
46	38	33	255
117	96	82	255
81	52	33	255
91	62	39	255
43	24	15	255
116	98	89	255
111	92	84	255
67	48	35	255
115	86	61	255
112	73	48	255
80	54	40	255
29	25	22	255
127	98	85	255
88	59	44	255
98	75	64	255
49	37	25	255
108	95	81	255
40	25	18	255
82	62	45	255
96	74	59	255
92	72	51	255
124	95	78	255
54	42	39	255
76	56	48	255
71	49	40	255
96	77	67	255
125	95	84	255
101	77	56	255
72	54	35	255
46	29	20	255
74	50	39	255
107	77	63	255
119	95	73	255
48	38	37	255
35	28	20	255
132	98	71	255
73	59	45	255
37	24	24	255
101	80	64	255
83	70	58	255
119	98	80	255
49	42	34	255
67	40	29	255
77	56	49	255
72	57	43	255
28	18	10	255
102	77	57	255
66	49	35	255
94	70	54	255
86	71	57	255
108	87	75	255
133	98	72	255
115	97	86	255
115	80	56	255
117	92	72	255
130	95	70	255
123	88	66	255
105	94	83	255
63	45	33	255
86	57	35	255
100	71	49	255
70	58	51	255
100	74	56	255
86	58	48	255
51	35	21	255
51	38	28	255
45	30	20	255
50	34	21	255
73	51	39	255
65	52	42	255
59	44	34	255
112	96	87	255
58	42	32	255
96	73	57	255
42	26	18	255
62	48	40	255
95	75	64	255
105	86	77	255
109	92	85	255
88	65	54	255
116	86	73	255
126	90	58	255
82	68	55	255
120	99	80	255
52	32	24	255
119	97	78	255
38	28	26	255
118	99	85	255
101	78	62	255
74	56	49	255
64	46	43	255
63	49	35	255
130	95	75	255
106	74	52	255
67	46	39	255
105	77	64	255
132	99	77	255
130	98	72	255
33	28	21	255
99	80	65	255
89	70	59	255
129	96	70	255
91	65	45	255
111	78	54	255
81	54	32	255
44	28	17	255
114	81	56	255
98	78	63	255
82	59	42	255
128	98	77	255
92	70	55	255
84	71	58	255
97	80	70	255
43	26	15	255
81	57	40	255
111	94	84	255
67	50	35	255
113	80	57	255
113	97	87	255
106	81	56	255
111	97	92	255
95	74	62	255
40	30	25	255
68	51	44	255
125	97	83	255
135	99	68	255
77	59	48	255
76	58	48	255
107	96	92	255
71	51	40	255
89	61	46	255
30	22	20	255
114	92	80	255
118	96	88	255
102	80	57	255
92	61	42	255
91	59	40	255
121	96	84	255
128	92	72	255
115	82	55	255
115	99	85	255
61	45	30	255
104	75	61	255
99	76	55	255
105	76	61	255
104	78	68	255
114	97	83	255
97	81	64	255
108	89	75	255
108	72	45	255
92	66	45	255
130	97	70	255
55	39	33	255
50	32	25	255
122	87	57	255
103	81	71	255
75	48	29	255
100	76	56	255
128	97	75	255
98	81	65	255
80	63	49	255
95	78	63	255
28	28	26	255
46	26	21	255
94	80	70	255
40	26	15	255
78	57	40	255
96	75	56	255
111	84	64	255
72	50	30	255
112	81	57	255
112	98	87	255
107	75	52	255
109	78	55	255
76	57	45	255
42	28	18	255
96	78	64	255
70	49	37	255
108	80	62	255
117	88	66	255
77	62	50	255
108	83	70	255
35	30	30	255
29	17	6	255
57	38	25	255
121	95	82	255
66	51	45	255
104	82	70	255
88	59	40	255
55	38	30	255
85	65	43	255
49	30	22	255
103	80	68	255
58	38	26	255
86	59	45	255
116	96	89	255
62	49	33	255
100	80	58	255
85	61	52	255
106	93	82	255
87	64	55	255
89	72	59	255
129	98	70	255
81	59	39	255
83	55	43	255
98	80	63	255
113	99	86	255
111	83	61	255
100	76	67	255
83	62	42	255
97	82	70	255
94	62	38	255
112	97	84	255
119	90	65	255
66	42	32	255
65	40	30	255
77	58	40	255
123	88	62	255
40	32	25	255
109	84	64	255
78	63	50	255
77	61	48	255
90	64	46	255
89	63	46	255
76	63	55	255
91	61	39	255
98	71	50	255
129	92	64	255
113	91	80	255
59	39	25	255
74	57	46	255
120	87	68	255
102	78	65	255
112	88	71	255
75	62	56	255
101	87	71	255
105	78	61	255
57	44	35	255
85	65	54	255
34	28	24	255
114	99	83	255
99	65	45	255
55	44	40	255
103	86	78	255
77	52	35	255
84	56	38	255
35	20	15	255
86	65	55	255
81	59	50	255
124	96	80	255
75	51	42	255
38	20	11	255
110	84	61	255
84	59	46	255
124	98	75	255
103	90	74	255
89	62	43	255
71	52	37	255
96	80	64	255
114	90	70	255
109	83	62	255
110	88	82	255
120	83	58	255
37	35	32	255
65	46	40	255
72	58	45	255
75	58	46	255
118	88	67	255
51	34	21	255
35	32	30	255
61	45	45	255
96	67	55	255
101	67	44	255
32	22	24	255
26	22	18	255
57	43	32	255
110	75	48	255
110	92	78	255
104	84	70	255
55	40	30	255
50	33	22	255
68	43	28	255
103	82	68	255
102	84	75	255
115	87	73	255
86	61	45	255
117	82	59	255
124	92	70	255
100	78	66	255
128	99	85	255
122	92	75	255
80	65	59	255
45	33	17	255
51	42	38	255
100	81	74	255
83	65	55	255
111	86	74	255
29	14	7	255
72	52	40	255
80	51	37	255
108	81	59	255
94	65	51	255
119	96	85	255
65	42	30	255
118	84	57	255
128	94	63	255
64	44	37	255
68	58	51	255
106	89	76	255
52	35	21	255
126	94	68	255
90	66	46	255
118	87	65	255
66	52	42	255
62	46	40	255
104	83	67	255
111	76	48	255
129	94	64	255
121	87	61	255
101	66	42	255
119	84	58	255
51	33	25	255
126	97	76	255
113	96	87	255
120	89	68	255
112	90	71	255
115	83	63	255
87	62	44	255
42	37	32	255
117	86	61	255
102	83	73	255
34	30	24	255
96	71	61	255
97	68	50	255
122	96	77	255
68	49	38	255
35	22	14	255
52	43	38	255
116	91	76	255
98	65	43	255
100	68	46	255
82	66	59	255
66	43	29	255
66	60	59	255
104	74	54	255
94	64	48	255
119	92	75	255
75	56	49	255
113	87	74	255
98	68	51	255
115	74	50	255
84	61	46	255
123	89	59	255
136	99	76	255
66	46	37	255
106	85	66	255
107	67	42	255
64	51	46	255
115	98	86	255
71	54	37	255
127	95	68	255
89	64	43	255
120	85	58	255
78	51	38	255
89	67	51	255
62	45	38	255
49	35	21	255
85	63	43	255
92	68	59	255
107	86	80	255
102	70	44	255
109	89	83	255
91	63	50	255
116	84	58	255
88	63	39	255
85	56	39	255
57	45	32	255
85	66	51	255
110	94	78	255
103	84	67	255
123	97	76	255
110	97	85	255
68	45	28	255
50	35	22	255
116	87	66	255
80	66	45	255
87	68	54	255
82	62	49	255
115	89	73	255
109	76	49	255
99	66	43	255
86	66	52	255
77	54	45	255
124	97	77	255
114	87	71	255
71	49	44	255
115	92	81	255
107	76	54	255
135	97	73	255
117	87	67	255
95	65	43	255
84	68	55	255
113	86	72	255
111	91	81	255
85	57	38	255
95	68	51	255
66	49	39	255
56	39	33	255
94	70	58	255
63	46	37	255
96	65	44	255
103	78	62	255
92	64	49	255
117	92	76	255
130	95	74	255
125	91	73	255
61	46	42	255
86	57	39	255
106	91	76	255
101	85	71	255
74	46	28	255
118	89	65	255
43	28	21	255
92	67	57	255
117	95	84	255
104	85	67	255
111	81	55	255
46	28	17	255
126	99	76	255
101	71	49	255
51	38	32	255
115	85	63	255
73	51	43	255
29	24	24	255
104	88	75	255
72	46	34	255
103	67	48	255
33	21	8	255
71	45	34	255
122	98	76	255
96	73	61	255
86	70	54	255
115	88	71	255
86	63	55	255
100	70	45	255
97	70	50	255
97	73	57	255
71	48	42	255
83	66	52	255
111	87	71	255
121	97	77	255
80	52	34	255
118	83	59	255
94	66	48	255
132	97	73	255
113	89	74	255
102	76	59	255
65	51	39	255
112	87	72	255
108	91	81	255
125	90	70	255
96	64	42	255
108	86	77	255
76	51	35	255
133	97	74	255
122	90	70	255
63	44	35	255
93	88	88	255
44	29	21	255
90	68	56	255
100	78	62	255
128	99	81	255
45	26	14	255
109	91	82	255
120	90	65	255
111	78	58	255
121	89	71	255
34	29	26	255
98	78	67	255
62	50	45	255
59	43	35	255
92	70	59	255
45	29	22	255
101	74	51	255
91	68	57	255
129	99	82	255
126	99	87	255
123	99	76	255
105	89	70	255
85	71	58	255
70	51	43	255
99	85	72	255
122	97	74	255
68	50	35	255
42	25	20	255
70	46	39	255
99	71	50	255
39	25	20	255
90	59	43	255
77	59	52	255
82	67	57	255
113	88	71	255
119	84	54	255
129	95	67	255
102	80	61	255
84	70	55	255
112	91	74	255
81	56	37	255
78	66	57	255
57	39	26	255
116	97	82	255
131	98	73	255
108	73	49	255
85	62	45	255
123	91	70	255
95	73	58	255
64	52	44	255
63	48	37	255
109	87	72	255
63	51	44	255
114	97	87	255
78	52	35	255
106	73	54	255
92	66	49	255
130	97	74	255
77	55	37	255
61	48	42	255
117	97	83	255
109	73	50	255
75	48	33	255
43	30	21	255
81	61	46	255
91	72	59	255
105	72	50	255
64	43	30	255
68	54	37	255
50	37	32	255
101	74	62	255
88	68	57	255
115	98	82	255
115	91	83	255
51	43	40	255
68	50	46	255
39	32	29	255
96	78	68	255
75	61	48	255
100	89	75	255
113	92	73	255
107	85	63	255
71	50	42	255
107	78	64	255
83	68	52	255
109	81	67	255
111	89	71	255
119	83	52	255
101	81	65	255
83	71	59	255
80	54	34	255
111	92	78	255
118	85	59	255
94	71	55	255
67	49	42	255
103	76	52	255
131	97	71	255
