red	green	blue
118	95	74	255
43	32	30	255
81	63	55	255
78	57	38	255
73	54	39	255
64	42	32	255
46	32	26	255
110	88	66	255
84	63	51	255
112	84	70	255
125	99	78	255
94	81	71	255
104	75	54	255
67	45	35	255
61	45	29	255
89	66	48	255
71	56	42	255
76	63	50	255
103	73	58	255
82	56	38	255
107	84	65	255
92	59	45	255
122	88	63	255
91	64	42	255
62	45	30	255
52	35	24	255
80	56	43	255
128	97	74	255
104	80	63	255
118	87	68	255
104	83	70	255
101	66	45	255
83	56	39	255
121	87	64	255
108	94	77	255
55	44	35	255
103	86	73	255
48	34	25	255
86	65	50	255
117	86	64	255
48	37	32	255
86	68	57	255
62	51	46	255
100	82	71	255
69	64	64	255
122	96	80	255
83	61	48	255
62	37	24	255
118	95	85	255
100	68	49	255
125	89	57	255
83	64	56	255
96	83	66	255
70	54	39	255
65	46	35	255
78	64	50	255
108	88	72	255
118	83	58	255
90	62	39	255
62	42	33	255
52	39	26	255
106	88	77	255
89	72	58	255
120	85	61	255
89	67	54	255
59	45	30	255
49	35	24	255
87	66	49	255
105	84	65	255
115	87	68	255
74	63	51	255
117	82	54	255
58	43	28	255
91	70	52	255
88	80	72	255
119	91	71	255
116	84	61	255
108	77	58	255
85	66	54	255
110	94	81	255
105	87	73	255
97	64	43	255
50	35	25	255
78	56	44	255
70	48	34	255
88	66	50	255
71	62	57	255
99	66	46	255
39	30	22	255
68	48	39	255
134	98	67	255
98	64	44	255
84	65	50	255
56	37	28	255
65	45	32	255
95	65	46	255
59	37	24	255
87	58	43	255
102	78	64	255
81	51	33	255
112	89	77	255
86	55	34	255
34	20	11	255
57	37	29	255
95	68	54	255
110	86	75	255
107	86	64	255
89	68	48	255
89	71	55	255
63	46	40	255
37	33	25	255
88	58	44	255
126	97	71	255
113	96	82	255
95	71	62	255
32	25	21	255
82	61	45	255
92	71	51	255
107	89	72	255
92	64	52	255
74	62	48	255
32	28	28	255
61	46	45	255
120	92	70	255
101	85	74	255
85	62	44	255
105	83	63	255
43	28	24	255
118	89	68	255
117	95	87	255
104	85	70	255
103	88	72	255
88	62	40	255
46	28	20	255
74	49	39	255
40	28	14	255
86	67	49	255
30	18	8	255
114	88	68	255
55	49	42	255
44	35	29	255
82	66	54	255
97	67	45	255
99	70	48	255
61	42	30	255
86	70	57	255
114	91	76	255
75	56	44	255
82	52	32	255
64	43	29	255
38	25	13	255
107	80	59	255
84	64	48	255
117	91	72	255
112	85	67	255
83	66	55	255
42	32	28	255
111	87	74	255
105	74	50	255
95	64	44	255
125	91	57	255
67	43	25	255
65	48	34	255
124	89	55	255
111	90	82	255
76	48	30	255
107	85	62	255
65	51	42	255
109	67	43	255
54	37	29	255
92	68	54	255
43	24	14	255
76	51	38	255
96	72	57	255
101	72	46	255
44	29	24	255
121	88	61	255
84	55	35	255
104	89	72	255
63	52	50	255
101	75	54	255
83	58	49	255
49	37	24	255
75	50	39	255
87	71	56	255
66	44	25	255
102	89	77	255
73	50	44	255
85	68	54	255
116	89	68	255
100	83	68	255
115	92	76	255
117	87	62	255
83	70	57	255
111	74	46	255
72	57	42	255
66	49	34	255
43	39	37	255
42	35	30	255
103	78	57	255
